temperature,Humidity,has_wind,weather_now
27,89,3,Partly Cloudy
27,89,5,Partly Cloudy
27,89,6,Partly Cloudy
27,89,5,Partly Cloudy
27,89,8,Partly Cloudy
27,89,6,Partly Cloudy
27,89,7,Partly Cloudy
27,89,5,Partly Cloudy
27,89,3,Partly Cloudy
27,89,6,Partly Cloudy
27,89,7,Partly Cloudy
27,89,7,Partly Cloudy
27,84,6,Partly Cloudy
27,89,9,Partly Cloudy
27,89,8,Partly Cloudy
28,84,9,Partly Cloudy
29,79,10,Partly Cloudy
30,74,10,Partly Cloudy
30,70,9,Partly Cloudy
31,66,10,Mostly Cloudy
31,66,9,Mostly Cloudy
31,62,8,Mostly Cloudy
31,66,9,Mostly Cloudy
32,59,7,Mostly Cloudy
33,52,8,Partly Cloudy
31,66,13,Light Rain Shower
26,100,13,Light Rain with Thunder
27,89,5,Light Rain with Thunder
31,75,1,Partly Cloudy
31,70,3,Thunder
27,84,12,Light Rain with Thunder
30,74,3,Light Rain with Thunder
30,70,9,Light Rain with Thunder
28,84,6,Light Rain
28,84,3,Partly Cloudy
29,74,9,Partly Cloudy
29,70,10,Partly Cloudy
29,70,6,Partly Cloudy
28,79,8,Partly Cloudy
28,74,9,Partly Cloudy
28,74,9,Partly Cloudy
28,74,10,Partly Cloudy
28,74,10,Partly Cloudy
27,79,9,Partly Cloudy
27,84,8,Partly Cloudy
27,84,5,Partly Cloudy
27,84,6,Partly Cloudy
27,84,7,Partly Cloudy